Date,Year,Observer 1,Oberver 2,Observer 3,Lek,Temperature,Wind Speed ,Percent Cloud Cover,Mist or Fog,Precipitation ,Time Observation Started,Time Observation Concluded,Maximum # of Males 0-15 Minutes,Maximum # of Males 15-30 Minutes,Maximum # of Males 30-45 Minutes,Maximum # of Males 45-60 Minutes,Maximum # of Males 60-75 Minutes,Maximum # of Males 75-90 Minutes,Maximum # of Males 90-105 Minutes,Maximum # of Males 105-120 Minutes,Maximum # of Females 0-15 Minutes,Maximum # of Females 15-30 Minutes,Maximum # of Females 30-45 Minutes,Maximum # of Females 45-60 Minutes,Maximum # of Females 60-75 Minutes,Maximum # of Females 75-90 Minutes,Maximum # of Females 90-105 Minutes,Maximum # of Females 105-120 Minutes,Maximum # of Sex Unknown 0-15 Minutes,Maximum # of Sex Unknown 15-30 Minutes,Maximum # of Sex Unknown 30-45 Minutes,Maximum # of Sex Unknown 45-60 Minutes,Maximum # of Sex Unknown 60-75 Minutes,Maximum #  of Sex Unknown 75-90 Minutes,Maximum # of Sex Unknown 90-105 Minutes,Maximum # of Sex Unknown 105-120 Minutes,Peak Male Attendance,Peak Female Attendance,Peak Sex Unknown Attendance,Audial Greater Sage-grouse Observation,Audial Sharp-tailed Grouse Observations,Audial Unknown Grouse Observations,Coyotes,Northern Harrier,Golden Eagle,Buteo species,Other,Specify Other,Strategic Annual Lek Monitoring Survey
10/04/2015,2015,Chris Reed,Don McKinnon,,Snake Pit,0.3,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,,,,,,,
16/04/2015,2015,Chris Reed,,,Rock Creek,-6.9,3.6,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,0,0,,,,,,,,,,
16/04/2015,2015,Mark Otway,Nathan Young,Justin Crowe,Fireguard,-7.6,2.3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,3,0,,,,,,,,,,
17/04/2015,2015,Chris Reed,Nathan Young,,Dixon Y,0.5,1.8,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,0,0,,,,,,,,,,
17/04/2015,2015,Mark Otway,Justin Crowe,,Snake Pit,1.3,4.9,<5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,,,,,,,
23/04/2015,2015,Mark Otway,Chris Reed,,Rock Creek,5.3,8.5,80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,,,,,,,
23/04/2015,2015,Nathan Young,,,Fireguard,5.4,13.4,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,1,0,,,,,,,,,,
24/04/2015,2015,Justin Crowe,Laura Gardiner,,Dixon Y,3,5.7,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,0,0,,,,,,,,,,
24/04/2015,2015,Nathan Young,Chris Reed,,Snake Pit,5,1.7,45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,,,,,,,
28/03/2015,2015,Heather Sauder,,,Dixon Y,5,0,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,0,,,,,,,,,,
29/04/2015,2015,Nathan Young,,,Dixon Y,7.5,5.1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,0,0,,,,,,,,,,
29/04/2015,2015,Chris Reed,,,Rock Creek,8.3,2.4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,,,,,,,
29/04/2015,2015,Justin Crowe,,,Fireguard,7.1,2.2,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,0,0,,,,,,,,,,
31/03/2015,2015,Heather Sauder,,,Dixon Y,3,2,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,3,0,,,,,,,,,,
01/04/2016,2016,Don McKinnon,Chris Reed,,Fireguard,-4,0,4,0,0,6:20,7:04,8,8,8,,,,,,9,11,10,,,,,,0,0,,,,,,,8,11,0,0,0,0,0,0,0,0,0,,No
01/04/2016,2016,Don McKinnon,Chris Reed,,Satellite,-4,0,4,0,0,6:20,7:04,,,,,,,,8,,,,,,,,0,,,,,,,,0,8,0,0,0,0,0,0,0,0,0,0,,No
02/04/2016,2016,Don McKinnon,Nathan Young,Stefano Liccioli,Fireguard,-6,0,1,0,0,6:16,7:19,9,9,9,9,9,,,,9,12,17,15,,,,,0,0,0,0,,,,,9,17,0,0,1,0,0,0,0,0,0,,No
02/04/2016,2016,Don McKinnon,Nathan Young,Stefano Liccioli,Satellite,-6,0,1,0,0,6:16,7:19,11,12,12,12,,,,,3,1,1,1,,,,,0,0,0,0,,,,,12,3,0,0,1,0,0,0,0,0,0,,No
02/05/2016,2016,Justin Crowe,,,Snake Pit,6.7,1.9,1,0,0,5:14,7:14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,,Yes
02/05/2016,2016,Heather Olson,Samantha Fischer,NA,Dixon Y,2,0,1,0,0,5:47,7:17,,2,4,5,4,4,2,2,,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,5,1,0,0,0,0,0,0,0,0,0,,Yes
02/05/2016,2016,Nils Lokken,,,Timbergulch,6.1,0,1,0,0,5:20,7:20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,,Yes
03/04/2016,2016,Jen Carpenter,Mike Swystan,,Fireguard,4.3,3,2,0,0,6:10,7:55,9,9,9,7,8,9,8,2,5,6,7,6,5,3,3,0,0,0,0,0,0,0,0,0,9,7,0,0,1,0,0,0,0,0,0,,No
03/04/2016,2016,Jen Carpenter,Mike Swystan,,Satellite,4.3,3,2,0,0,6:10,7:55,7,8,9,9,9,7,6,0,6,7,8,2,0,0,0,0,0,0,0,0,0,0,0,0,9,8,0,0,1,0,0,0,0,0,0,,No
03/05/2016,2016,Nathan Young,Trilby Buck,,Rock Creek,2.7,3.6,1,0,0,5:11,7:11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Yes
03/05/2016,2016,Laura Gardiner,Stefano Liccioli,Don McKinnon,Fireguard,3.6,0,1,0,0,5:11,7:11,11,11,11,11,11,11,11,11,2,2,2,2,2,2,2,1,0,0,0,0,0,0,0,0,11,2,0,0,1,0,0,0,0,0,0,,Yes
03/05/2016,2016,Laura Gardiner,Stefano Liccioli,Don McKinnon,Satellite,3.6,0,1,0,0,5:11,7:11,14,15,17,17,17,17,17,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,1,0,0,0,0,0,0,,Yes
04/04/2016,2016,Don McKinnon,Jen Carpenter,Mike Swystan,Fireguard,3,5,4,0,0,6:20,8:05,12,13,13,12,15,10,,0,12,14,13,17,10,1,,0,0,0,0,0,0,0,,0,15,17,0,0,1,0,1,1,0,1,0,,No
04/04/2016,2016,Don McKinnon,Jen Carpenter,Mike Swystan,Satellite,3,5,4,0,0,6:20,8:05,11,10,9,2,2,9,,2,7,9,9,0,0,2,,0,0,0,0,0,0,0,,0,11,9,0,0,1,0,1,1,0,1,0,,No
07/04/2016,2016,Nathan Young,Stefano Liccioli,,Snake Pit,1.8,17.1,1,0,0,5:56,7:56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,,Yes
07/04/2016,2016,Sherri Clifford,Heather Facette,,Dixon Y,-0.4,0,1,0,0,6:05,7:50,5,4,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,2,0,0,0,0,0,0,0,0,0,,Yes
07/04/2016,2016,Beatriz Prieto,Jessus Karst,,Timbergulch,-1,0,1,0,0,6:03,8:03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,,Yes
08/04/2016,2016,Chris Reed,Laura Gardiner,,Rock Creek,-6,1.5,1,0,0,6:00,8:02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,,Yes
08/04/2016,2016,Justin Crowe,Samantha Fischer,,Fireguard,-2.7,3.2,1,0,0,5:53,7:53,13,11,11,11,10,9,11,10,0,6,2,10,15,14,10,8,0,0,0,0,0,0,0,0,13,15,0,0,1,0,0,0,0,0,0,,Yes
08/04/2016,2016,Justin Crowe,Samantha Fischer,,Satellite,-2.7,3.2,1,0,0,5:53,7:53,,11,12,12,11,12,12,11,,2,5,1,2,0,0,0,0,0,0,0,0,0,0,0,12,5,0,0,1,0,0,0,0,0,0,,Yes
12/04/2016,2016,Nils Lokken,Nathan Young,,Dixon Y,2.3,2.5,2,0,0,5:55,7:55,5,5,5,5,5,5,5,5,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,5,1,0,0,0,0,1,0,0,0,0,,Yes
12/04/2016,2016,Justin Crowe,,,Snake Pit,6.1,5.3,3,0,0,5:41,7:41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,,Yes
13/04/2016,2016,Stefano Liccioli,Chris Reed,,Rock Creek,6,2.7,3,0,0,5:50,7:50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,,Yes
13/04/2016,2016,Samantha Fischer,Laura Gardiner,,Fireguard,3.5,6.2,4,0,0,5:50,7:50,13,14,14,14,14,13,12,15,6,7,7,8,6,6,4,2,0,0,0,0,0,0,0,0,15,8,0,0,1,0,0,1,0,1,1,Prairie falcon,Yes
13/04/2016,2016,Samantha Fischer,Laura Gardiner,,Satellite,3.5,6.2,4,0,0,5:50,7:50,12,12,12,12,12,12,12,12,0,2,4,2,0,0,0,0,0,0,0,0,0,0,0,0,12,4,0,0,1,0,0,1,0,1,1,Prairie falcon,Yes
19/04/2016,2016,Heather Facette,,,Snake Pit,-1,3.5,1,0,0,5:50,7:35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,,Yes
19/04/2016,2016,Laura Gardiner,Autumn Watkinson,Coleen Crill,Dixon Y,-1,3.5,1,0,0,5:43,7:43,4,4,4,3,4,4,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,0,0,0,0,0,0,0,0,,Yes
21/04/2016,2016,Heather Facette,Autumn Watkinson,Don McKinnon,Fireguard,-1.7,3,1,0,0,5:30,7:15,13,13,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,,Yes
21/04/2016,2016,Heather Facette,Autumn Watkinson,Don McKinnon,Satellite,-1.7,3,1,0,0,5:30,7:15,15,14,15,15,15,15,15,15,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,15,1,0,0,0,0,0,0,0,0,0,,Yes
21/04/2016,2016,Laura Gardiner,,,Rock Creek,-1.7,3,1,0,0,5:35,7:35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,0,,Yes
21/04/2016,2016,Beatriz Prieto,Ryan Fisher,NA,South Horse Creek,-4.3,3.3,1,0,0,5:25,7:27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,,Yes
29/03/2016,2016,Don McKinnon,Chris Reed,,Fireguard,2,16,4,0,0,6:20,8:07,0,10,11,11,11,11,11,,0,0,4,5,6,4,8,,0,0,0,0,0,0,0,,11,8,0,0,0,0,0,0,0,0,0,,No
30/03/2016,2016,Don McKinnon,Chris Reed,,Fireguard,-8,0,1,0,0,6:19,8:30,9,11,10,10,9,,9,9,13,16,16,,12,,4,3,0,0,0,,0,,0,0,11,16,0,0,1,0,1,0,0,0,0,,No
30/03/2016,2016,Don McKinnon,Chris Reed,,Satellite,-8,0,1,0,0,6:19,8:30,,,10,10,,,,,,,2,4,,,,,,,0,0,,,,,10,4,0,0,1,0,1,0,0,0,0,,No
31/03/2016,2016,Chris Reed,,,Satellite,-5,10,3,0,2,7:00,7:47,8,9,10,12,10,10,,,2,2,2,2,0,0,,,0,0,0,0,0,0,,,12,2,0,0,1,0,0,0,0,0,0,,No
31/03/2016,2016,Don McKinnon,,,Fireguard,-5,10,4,0,0,6:29,8:15,,8,8,8,8,8,8,8,,0,3,10,7,7,2,4,,0,0,0,0,0,0,0,8,10,0,0,0,0,1,0,0,0,0,,No
05-04-2017,2017,Justin Crowe,NA,NA,Dixon Y,-5,4.2,1,0,0,6:06,8:06,4,5,5,5,5,5,5,5,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,1,0,0,0,0,0,0,0,NA,Yes
06-04-2017,2017,Laura Gardiner,Chris Reed,NA,Fireguard,4.2,18.6,1,0,0,6:05,8:05,5,4,4,4,4,4,4,0,3,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,5,3,0,0,0,0,0,0,0,0,0,NA,Yes
06-04-2017,2017,Laura Gardiner,Chris Reed,NA,Fireguard Satellite,4.2,18.6,1,0,0,6:05,8:05,11,11,11,11,11,11,11,11,0,0,0,3,3,2,2,1,0,0,0,0,0,0,0,0,11,3,0,0,0,0,0,1,0,0,0,NA,Yes
12-04-2017,2017,Nathan Young,NA,NA,Dixon Y,-5,2.2,4,0,0,5:52,7:52,4,4,4,4,4,4,4,4,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,4,1,0,0,0,0,0,1,0,0,0,NA,Yes
12-04-2017,2017,Justin Crowe,NA,NA,Fireguard,-2.8,2.5,4,0,0,5:52,7:52,6,6,5,4,5,5,3,3,0,2,6,2,2,1,0,0,0,0,0,0,0,0,0,0,6,6,0,0,1,0,0,0,0,0,0,NA,Yes
12-04-2017,2017,Chris Reed,NA,NA,Fireguard Satellite,-2,2.1,1,0,0,5:50,8:10,5,6,6,3,3,3,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,1,1,0,0,1,0,0,0,NA,Yes
21-04-2017,2017,Laura Gardiner,7 volunteers,NA,Dixon Y,2.6,0,1,0,0,5:36,7:36,1,2,3,5,5,5,5,3,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,5,1,0,0,0,0,0,1,0,0,0,NA,Yes
21-04-2017,2017,Chris Reed,Samantha Fischer,NA,Fireguard,3.8,2.4,4,0,0,5:36,7:19,6,4,0,0,0,2,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,1,1,0,1,1,0,0,0,NA,Yes
21-04-2017,2017,Chris Reed,Samantha Fischer,NA,Fireguard Satellite,3.8,2.4,4,0,0,5:36,7:19,8,11,11,11,11,11,11,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,1,1,0,1,1,0,0,0,NA,Yes
28-04-2017,2017,Heather Facette,Jacqueline Menzies,NA,Dixon Y,4.8,2.7,2,0,0,5:25,7:25,5,5,5,5,5,5,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,1,0,0,0,0,0,0,0,NA,Yes
28-04-2017,2017,Chris Reed,Ffion Cassidy,NA,Fireguard,2.9,2.8,3,0,0,5:25,7:20,5,4,4,4,4,4,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,NA,Yes
28-04-2017,2017,Chris Reed,Ffion Cassidy,NA,Fireguard Satellite,2.9,2.8,3,0,0,5:28,7:20,9,13,13,13,13,13,13,13,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,13,1,0,0,0,0,1,0,0,0,0,NA,Yes
04-05-2017,2017,Jessus Karst,Beatriz Prieto,NA,Fireguard,5,0,1,0,0,5:50,7:20,2,1,1,1,0,3,1,NC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,1,0,0,1,0,0,1,SEOW,No
04-05-2017,2017,Jessus Karst,Beatriz Prieto,NA,Fireguard Satellite,5,0,1,0,0,5:50,7:20,13,14,14,14,14,14,13,NC,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,14,1,0,0,1,0,0,1,0,0,1,SEOW,No
05-04-2018,2018,Laura Gardiner,Neil Fisher,NA,Dixon Y,-9.2,15.2,4,0,0,6:15,8:15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,Yes
06-04-2018,2018,Chris Reed,Stefano Liccioli,NA,Fireguard,-18,0,1,0,0,6:10,8:10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,Yes
06-04-2018,2018,Chris Reed,Stefano Liccioli,NA,Fireguard Satellite,-18,0,1,0,0,6:10,8:10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,Yes
19-04-2018,2018,Samantha Fischer,Neil Fisher,NA,Dixon Y,0.9,2.6,1,0,0,5:52,7:52,4,4,4,4,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,0,0,0,0,0,1,0,0,NA,Yes
20-04-2018,2018,Laura Gardiner,Chris Reed,NA,Fireguard,-0.4,4.5,1,0,0,5:38,7:38,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,1,0,0,0,1,1,0,1,0,NA,Yes
20-04-2018,2018,Chris Reed,Laura Gardiner,NA,Fireguard Satellite,-0.4,4.5,1,0,0,5:38,7:38,8,10,10,8,8,8,8,6,2,10,8,6,6,6,6,0,0,0,0,0,0,0,0,0,10,10,0,0,0,0,1,1,0,0,0,NA,Yes
26-04-2018,2018,Heather Facette,Maggi Sliwinski,"Marta Verdu, Hanna Rogers, Claudia Henriguez",Dixon Y,-4,3.2,1,0,0,5:25,7:25,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,1,0,0,NA,Yes
27-04-2018,2018,Chris Reed,Jacqueline Menzies,NA,Fireguard,0.1,3.6,1,0,0,5:26,7:26,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,NA,Yes
27-04-2018,2018,Jacqueline Menzies,Chris Reed,NA,Fireguard Satellite,0.1,3.6,1,0,0,5:26,7:26,10,10,9,9,9,5,2,0,6,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,10,6,1,0,0,0,0,1,0,0,0,NA,Yes
03-05-2018,2018,Stefano Liccioli,"Marta Verdu, Hanna Rogers, Claudia Henriguez",NA,Dixon Y,4.5,2.5,2,0,0,5:20,7:20,3,4,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,0,0,0,0,0,0,0,0,NA,Yes
04-05-2018,2018,Chris Reed,NA,NA,Fireguard,4.4,2.3,1,0,0,5:15,7:15,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,NA,Yes
04-05-2018,2018,Justin Crowe,Maggi Sliwinski,NA,Fireguard Satellite,6.6,0.2,2,0,0,5:15,7:15,10,1,1,2,6,5,3,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,2,0,1,0,1,0,1,0,0,0,NA,Yes
03-04-2019,2019,Laura Gardiner,Janine Jaffrey,Ilsa Griebel,Dixon Y,-2.2,6.3,1,0,0,6:10,8:10,4,4,4,4,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,1,0,0,1,0,NA,Yes
08-04-2019,2019,Chris Reed,Justin Crowe,,Fireguard,-1.1,3,1,0,0,6:00,8:00,1,1,1,0,0,0,0,1,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,NA,Yes
08-04-2019,2019,Justin Crowe,Chris Reed,,Fireguard satellite,-1.1,3,1,0,0,6:00,8:00,10,10,10,10,10,11,11,11,8,8,5,5,3,4,0,0,0,0,0,0,0,0,0,0,11,8,0,0,0,0,0,0,0,0,0,NA,Yes
10-04-2019,2019,Samantha Fischer,Michelle Sawatzky,,Dixon Y,2,0,4,0,0,6:00,8:00,4,4,4,4,4,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,1,0,0,0,0,NA,Yes
17-04-2019,2019,Stefano Liccioli,Emma Struivig de Groot,,Dixon Y,1.5,3,4,1,0,5:50,7:50,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,NA,Yes
18-04-2019,2019,Chris Reed,Michelle Sawatzky,Cameron Nordell,Fireguard,-4,0,1,0,0,5:40,7:45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,NA,Yes
18-04-2019,2019,Chris Reed,Michelle Sawatzky,Cameron Nordell,Fireguard satellite,-4,0,1,0,0,5:40,7:45,12,12,12,3,1,0,0,0,8,8,2,2,2,0,0,0,0,0,0,0,0,0,0,0,12,8,0,0,1,0,0,1,0,0,0,NA,Yes
21-04-2019,2019,Stefano Liccioli,Emma Struivig de Groot,Janine Jaffrey,Dixon Y,0.1,17,2,0,0,5:50,7:50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,NA,Yes
25-04-2019,2019,Justin Crowe,Laura Gardiner,,Fireguard,1.2,16.8,2,0,0,5:30,7:30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,Yes
25-04-2019,2019,Laura Gardiner,Justin Crowe,,Fireguard satellite,1.2,16.8,2,0,0,5:30,7:30,12,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,NA,Yes
25-04-2019,2019,Michelle Sawatzky,,,Dixon Y,2.2,16.2,2,0,0,5:30,7:30,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,1,0,0,0,NA,Yes
02-05-2019,2019,Laura Gardiner,Stefano Liccioli,,Dixon Y,3,0,1,0,0,5:20,7:20,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,1,1,0,0,0,NA,Yes
03-05-2019,2019,Justin Crowe,Chris Reed,,Fireguard,-3,2.6,1,0,0,5:15,7:15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,Yes
03-05-2019,2019,Chris Reed,Justin Crowe,,Fireguard satellite,-3,2.6,1,0,0,5:15,7:15,12,5,4,9,9,4,4,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,1,0,0,0,0,0,0,0,0,0,NA,Yes
NA,NA,SK Env. CDC,,,Dixon Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28-03-2020,2020,Stefano Liccioli,,,Dixon Y,0.8,5.0,1,0,0,6:25,8:25,2,2,2,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,NA,Yes
03-04-2020,2020,Alex Heathcote,,,Dixon Y,-13.0,1.1,3,0,0,6:12,8:12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,NA,Yes
09-04-2020,2020,Stefano Liccioli,,,Dixon Y,-7.0,2.2,1,0,0,6:02,8:02,3,3,3,3,3,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,NA,Yes
17-04-2020,2020,Alex Heathcote,,,Dixon Y,-0.5,8.4,4,0,0,5:45,7:45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,NA,Yes
22-04-2020,2020,Alex Heathcote,,,Dixon Y,-1.0,0.9,2,0,0,5:35,7:35,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,NA,Yes
25-04-2020,2020,Stefano Liccioli,,,Fireguard satellite,-5.7,1.7,1,1,0,5:32,7:32,16,21,22,23,23,14,17,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,NA,Yes
25-04-2020,2020,Stefano Liccioli,,,Fireguard,-5.7,1.7,1,1,0,5:32,7:32,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,NA,Yes
30-04-2020,2020,Alex Heathcote,,,Dixon Y,3.5,2.1,1,0,0,5:20,7:20,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,Yes
